exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
1,,,3,116,2,1,1,0,0,0,0,0,,-4,-4,0,0,,,,,,,-4,4,,0,0,0,,,,47,3,0,3,1,2,4,1,0,1,-1,0,,,
1,,,3,117,2,1,1,0,0,0,1,0,,-3,-3,0,0,,,,,,,-3,3,,0,0,0,,,,59,2,1,2,1,2,3,1,0,1,-3,0,1,1,0
1,,,1,119,2,1,1,0,0,0,1,0,,-2,-1,1,-3,,,,,,,-2,-1,,0,1,0,,,,33,2,1,2,1,1,1,4,2,4,-2,1,0,0,0
1,,,3,120,2,0,1,0,0,0,1,0,,0,-1,-1,1,,,,,,,1,2,,1,0,0,,,,66,1,0,1,0,0,2,2,1,2,0,0,,,
1,,,3,121,2,0,1,0,0,0,1,0,,-2,-4,-2,12,,,,,,,-2,4,,0,1,0,,,,62,2,1,2,1,2,2,1,0,0,0,1,,,
1,,,3,122,2,0,1,1,0,1,0,0,,0,-3,-3,9,,,,,,,0,3,,0,1,0,,,,53,2,1,2,1,0,2,3,2,2,0,2,,,
1,,,3,123,2,0,1,0,0,0,1,0,,-1,-5,-4,24,,,,,,,-2,4,,-1,1,0,,,,27,4,0,2,1,2,3,3,2,2,1,2,0,0,0
1,,,3,124,2,0,1,1,0,0,1,0,,-2,-2,0,0,,,,,,,-4,0,,-2,1,0,,,,66,4,1,3,1,1,3,3,2,2,2,1,,,
1,,,3,125,2,1,1,0,0,0,1,0,,-3,-2,1,-5,,,,,,,-3,2,,0,2,1,,,,68,1,0,1,0,0,2,2,1,1,-3,1,0,0,0
1,,,3,127,2,1,1,0,0,0,0,0,,-3,0,3,-9,,,,,,,-3,0,,0,2,1,,,,36,3,1,2,1,1,2,1,0,3,3,1,0,0,0
1,,,2,128,2,0,1,1,0,0,1,0,,-2,-5,-3,21,,,,,,,1,4,,-1,2,1,,,,36,4,1,2,1,1,2,3,2,0,2,1,0,0,0
1,,,2,131,2,0,1,0,0,0,1,0,,-4,-4,0,0,,,,,,,3,3,,-1,0,0,,,,67,1,0,2,1,0,3,3,2,3,1,0,,,
1,,,3,132,2,0,1,1,0,0,0,0,,0,-1,-1,1,,,,,,,0,1,,0,1,0,,,,66,3,1,2,1,1,2,1,0,3,0,1,0,0,0
1,,,1,133,2,1,1,0,0,0,1,0,,-3,-3,0,0,,,,,,,-3,-3,,0,0,0,,,,49,2,0,0,0,2,2,2,1,0,5,0,,,
1,,,3,134,2,1,1,0,0,0,1,0,,-3,0,3,-9,,,,,,,-4,-1,,-1,0,0,,,,65,2,0,2,1,2,2,3,2,3,0,1,0,0,0
1,,,1,135,2,0,0,0,0,0,0,0,,-4,-1,3,-15,,,,,,,-4,-1,,0,0,0,,,,59,1,0,0,0,0,1,4,2,0,0,1,0,0,0
1,,,3,136,2,0,1,0,0,0,1,0,,-1,-1,0,0,,,,,,,0,2,,1,1,0,,,,59,2,0,1,0,1,2,1,0,1,-2,1,,,
1,,,3,138,2,1,0,0,0,0,0,0,,0,-2,-2,4,,,,,,,2,4,,2,0,0,,,,55,2,0,0,0,1,4,4,2,0,-5,0,,,
1,,,4,139,2,0,1,0,0,0,1,0,,0,0,0,0,,,,,,,-2,-2,,-2,1,0,,,,33,4,1,3,1,1,2,0,0,2,2,3,0,0,0
1,,,3,140,2,0,1,1,0,1,0,0,,0,-4,-4,16,,,,,,,0,4,,0,2,1,,,,57,1,1,1,0,0,2,4,2,2,0,2,,,
