exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc,amb
2,,1,3,117,1,0,1,0,0,0,1,0,0,-3,-3,0,0,-3,-3,0,0,,,-3,3,-3,0,0,0,3,,,59,2,1,2,1,2,3,1,0,1,-3,0,1,1,0,0
2,,1,1,119,0,1,1,0,0,0,1,0,0,-2,-1,1,-3,-1,-2,-1,3,,,-2,-1,-1,0,1,0,-2,,,33,2,1,2,1,1,1,4,2,4,-2,1,0,0,0,0
2,,1,3,123,1,0,1,0,0,0,1,0,0,-1,-5,-4,24,-1,-5,-4,24,,,-2,4,-2,-1,1,0,4,,,27,4,0,2,1,2,3,3,2,2,1,2,0,0,0,0
2,,1,3,125,0,1,1,0,0,0,1,0,0,-3,-2,1,-5,-2,-3,-1,5,,,-3,2,2,0,2,1,-3,,,68,1,0,1,0,0,2,2,1,1,-3,1,0,0,0,0
2,,1,3,127,1,1,1,0,0,0,0,0,1,-3,0,3,-9,-3,0,3,-9,,,-3,0,-3,0,2,1,0,,,36,3,1,2,1,1,2,1,0,3,3,1,0,0,0,0
2,,1,2,128,0,0,1,1,0,0,1,0,1,-2,-5,-3,21,-5,-2,3,-21,,,1,4,4,-1,2,1,1,,,36,4,1,2,1,1,2,3,2,0,2,1,0,0,0,0
2,,1,3,132,1,0,1,1,0,0,0,0,0,0,-1,-1,1,0,-1,-1,1,,,0,1,0,0,1,0,1,,,66,3,1,2,1,1,2,1,0,3,0,1,0,0,0,0
2,,1,3,134,0,1,1,0,0,0,1,0,0,-3,0,3,-9,0,-3,-3,9,,,-4,-1,-1,-1,0,0,-4,,,65,2,0,2,1,2,2,3,2,3,0,1,0,0,0,0
2,,1,1,135,1,0,0,0,0,0,0,0,0,-4,-1,3,-15,-4,-1,3,-15,,,-4,-1,-4,0,0,0,-1,,,59,1,0,0,0,0,1,4,2,0,0,1,0,0,0,0
2,,1,4,139,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,-2,-2,-2,-2,1,0,-2,,,33,4,1,3,1,1,2,0,0,2,2,3,0,0,0,0
2,,1,2,141,0,0,1,0,0,0,1,0,1,-1,-2,-1,3,-2,-1,1,-3,,,-2,-1,-1,-3,0,0,-2,,,65,3,0,3,1,0,4,2,1,3,3,0,0,0,0,0
2,,1,2,142,1,0,1,1,0,0,1,0,0,-3,-6,-3,27,-3,-6,-3,27,,,1,4,1,-2,1,0,4,,,36,3,0,1,0,1,3,1,0,2,0,1,0,0,0,0
2,,1,2,143,1,0,1,0,0,1,1,0,0,-1,-2,-1,3,-1,-2,-1,3,,,1,2,1,0,0,0,2,,,69,1,0,0,0,0,3,4,2,2,1,2,0,0,0,0
2,,1,3,153,1,1,1,0,0,0,1,0,1,-3,-2,1,-5,-3,-2,1,-5,,,-3,2,-3,0,1,0,2,,,41,4,1,2,1,1,2,3,2,3,1,1,0,0,0,0
2,,1,2,154,1,0,1,0,0,0,1,0,0,-3,-5,-2,16,-3,-5,-2,16,,,0,2,0,-3,1,0,2,,,55,2,0,1,0,0,3,1,0,3,0,1,0,0,0,0
2,,1,2,155,1,0,1,1,0,0,1,0,0,-2,-5,-3,21,-2,-5,-3,21,,,0,3,0,-2,1,0,3,,,62,4,0,3,1,2,4,2,1,4,0,0,0,0,0,0
2,,1,2,159,0,0,1,0,0,0,1,0,1,-2,-5,-3,21,-5,-2,3,-21,,,1,4,4,-1,3,1,1,,,50,2,1,3,1,0,2,1,0,3,-1,2,0,0,0,0
2,,1,1,160,1,1,1,0,1,0,0,0,1,-3,-1,2,-8,-3,-1,2,-8,,,-4,-2,-4,-1,2,1,-2,,,66,2,1,1,0,1,2,3,2,2,-1,2,0,0,0,0
2,,1,3,163,1,0,1,0,0,0,1,0,0,-1,-3,-2,8,-1,-3,-2,8,,,-1,3,-1,0,1,0,3,,,44,2,0,1,0,1,3,1,0,2,-2,1,0,0,0,0
2,,1,1,164,0,1,1,0,0,1,0,0,0,-4,-2,2,-12,-2,-4,-2,12,,,-4,-2,-2,0,0,0,-4,,,62,1,1,2,1,0,3,3,2,2,-3,1,0,0,0,0
2,,1,3,170,1,0,1,1,0,0,1,0,0,-1,-3,-2,8,-1,-3,-2,8,,,-2,2,-2,-1,1,0,2,,,57,2,1,2,1,2,2,3,2,2,0,2,0,0,0,0
2,,1,1,171,1,1,1,0,0,0,1,0,1,-2,-2,0,0,-2,-2,0,0,,,1,1,1,3,0,0,1,,,56,2,1,3,1,1,3,3,2,0,-5,0,0,0,0,0
2,,1,2,175,0,0,1,0,0,0,1,0,1,-2,-5,-3,21,-5,-2,3,-21,,,0,3,3,-2,0,0,0,,,57,2,0,1,0,2,2,1,0,0,3,0,0,0,0,0
2,,1,3,178,0,0,0,0,0,0,0,0,1,-3,-1,2,-8,-1,-3,-2,8,,,-3,1,1,0,3,1,-3,,,58,2,1,1,0,1,2,2,1,2,-1,2,0,0,0,0
2,,1,3,179,0,0,1,0,0,0,0,0,1,-2,-4,-2,12,-4,-2,2,-12,,,-2,4,4,0,1,0,-2,,,44,2,1,1,0,1,1,3,2,2,-1,3,0,0,0,0
