exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
1:certainty,,,left/right,116,none,Party B,yes,no,no,no,no,no,,-4,-4,0,0,,,,,,,-4,4,,0,sehr sicher,sicher,,,,47,Abitur,m,sehr groß,groß,2,sehr stark,manchmal Risiken,affin,ziemlich unzufrieden,-1,sehr sicher,,,
1:certainty,,,left/right,117,none,Party B,yes,no,no,no,yes,no,,-3,-3,0,0,,,,,,,-3,3,,0,sehr sicher,sicher,,,,59,Realschule,f,groß,groß,2,ziemlich stark,manchmal Risiken,affin,ziemlich unzufrieden,-3,sehr sicher,yes,yes,no
1:certainty,,,both left,119,none,Party B,yes,no,no,no,yes,no,,-2,-1,1,-3,,,,,,,-2,-1,,0,ziemlich sicher,sicher,,,,33,Realschule,f,groß,groß,1,weniger stark,unbedingte Sicherheit,avers,sehr zufrieden,-2,ziemlich sicher,no,no,no
1:certainty,,,left/right,120,none,Party A,yes,no,no,no,yes,no,,0,-1,-1,1,,,,,,,1,2,,1,sehr sicher,sicher,,,,66,Hauptschule,m,gering,gering,0,mittelmäßig,keine Vorlieben,neutral,teils/ teils,0,sehr sicher,,,
1:certainty,,,left/right,121,none,Party A,yes,no,no,no,yes,no,,-2,-4,-2,12,,,,,,,-2,4,,0,ziemlich sicher,sicher,,,,62,Realschule,f,groß,groß,2,mittelmäßig,manchmal Risiken,affin,sehr unzufrieden,0,ziemlich sicher,,,
1:certainty,,,left/right,122,none,Party A,yes,yes,no,yes,no,no,,0,-3,-3,9,,,,,,,0,3,,0,ziemlich sicher,sicher,,,,53,Realschule,f,groß,groß,0,mittelmäßig,Sicherheit,avers,teils/ teils,0,weder/noch,,,
1:certainty,,,left/right,123,none,Party A,yes,no,no,no,yes,no,,-1,-5,-4,24,,,,,,,-2,4,,-1,ziemlich sicher,sicher,,,,27,Hochschulstudium,m,groß,groß,2,ziemlich stark,Sicherheit,avers,teils/ teils,1,weder/noch,no,no,no
1:certainty,,,left/right,124,none,Party A,yes,yes,no,no,yes,no,,-2,-2,0,0,,,,,,,-4,0,,-2,ziemlich sicher,sicher,,,,66,Hochschulstudium,f,sehr groß,groß,1,ziemlich stark,Sicherheit,avers,teils/ teils,2,ziemlich sicher,,,
1:certainty,,,left/right,125,none,Party B,yes,no,no,no,yes,no,,-3,-2,1,-5,,,,,,,-3,2,,0,weder/noch,unsicher,,,,68,Hauptschule,m,gering,gering,0,mittelmäßig,keine Vorlieben,neutral,ziemlich unzufrieden,-3,ziemlich sicher,no,no,no
1:certainty,,,left/right,127,none,Party B,yes,no,no,no,no,no,,-3,0,3,-9,,,,,,,-3,0,,0,weder/noch,unsicher,,,,36,Abitur,f,groß,groß,1,mittelmäßig,manchmal Risiken,affin,ziemlich zufrieden,3,ziemlich sicher,no,no,no
1:certainty,,,both right,128,none,Party A,yes,yes,no,no,yes,no,,-2,-5,-3,21,,,,,,,1,4,,-1,weder/noch,unsicher,,,,36,Hochschulstudium,f,groß,groß,1,mittelmäßig,Sicherheit,avers,sehr unzufrieden,2,ziemlich sicher,no,no,no
