i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
116,47,m,Abitur,sehr stark,ziemlich unzufrieden,sehr groß,-4,4,left/right,2,-4,-4,0,0,Party B,yes,2209,-1,1,1,-1,new,,left/right,Party A,-1,-1,0,0,-1,-1,0,0,Party A,yes,yes,3,3,3,3,both right,Party B,-3,-3,0,0,0,Party A,no,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,,,,,left/right,none,-2,-1,1,-3,-2,-1,1,-3,,,B=precise,Party A,no,no,groß,2,3,sehr sicher,1,sehr sicher,0,sehr sicher,-3,sehr sicher,0,sehr sicher,sicher,-5,sehr sicher,-1,sehr sicher,stark,manchmal Risiken,affin,-1,sehr sicher,,,FDP,no,no,no,no,no
117,59,f,Realschule,ziemlich stark,ziemlich unzufrieden,groß,-3,3,left/right,2,-3,-3,0,0,Party B,yes,3481,-3,3,-3,3,same,yes,left/right,Party B,-3,-3,0,0,-3,-3,0,0,Party A,yes,no,4,4,4,4,both right,Party A,-4,-4,0,0,0,Party A,yes,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=internal conflict,Party B,yes,yes,groß,2,0,sehr sicher,-3,ziemlich sicher,-1,sehr sicher,-5,sehr sicher,0,sehr sicher,sicher,-5,sehr sicher,-3,sehr sicher,stark,manchmal Risiken,affin,-3,sehr sicher,yes,no,,no,no,no,yes,no
119,33,f,Realschule,weniger stark,sehr zufrieden,groß,-2,-1,both left,2,-2,-1,1,-3,Party B,yes,1089,-2,-1,-1,-2,same,no,both left,Party A,-2,-1,1,-3,-1,-2,-1,3,Party B,yes,no,-3,-3,-3,-3,both left,Party A,-3,-3,0,0,0,Party A,yes,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party B,no,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=internal conflict,Party B,yes,yes,groß,1,5,ziemlich sicher,0,ziemlich sicher,1,ziemlich sicher,-4,ziemlich sicher,0,ziemlich sicher,sicher,-5,ziemlich sicher,-2,ziemlich sicher,gering,unbedingte Sicherheit,avers,-2,ziemlich sicher,no,no,CDU/CSU,no,no,no,yes,no
120,66,m,Hauptschule,mittelmäßig,teils/ teils,gering,1,2,left/right,2,0,-1,-1,1,Party A,yes,4356,-4,-2,-2,-4,new,,both left,Party A,-5,-3,2,-16,-3,-5,-2,16,Party B,yes,no,2,2,2,2,both right,Party B,-1,-1,0,0,0,Party A,no,-1,3,3,-1,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,-2,1,,,left/right,Party B,-3,0,3,-9,-3,0,3,-9,,,B=risky,Party B,yes,yes,gering,0,5,sehr sicher,0,sehr sicher,-1,sehr sicher,-2,sehr sicher,1,sehr sicher,sicher,-5,sehr sicher,-1,sehr sicher,mittel,keine Vorlieben,neutral,0,sehr sicher,,,CDU/CSU,no,no,no,yes,no
121,62,f,Realschule,mittelmäßig,sehr unzufrieden,groß,-2,4,left/right,2,-2,-4,-2,12,Party A,yes,3844,-2,-1,-2,-1,new,,both left,Party B,-2,-1,1,-3,-2,-1,1,-3,Party B,yes,yes,1,1,1,1,both right,Party A,-1,-1,0,0,0,Party A,yes,-2,2,2,-2,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,,,,,left/right,none,-2,-1,1,-3,-2,-1,1,-3,,,B=precise,Party B,yes,no,groß,2,5,sehr sicher,0,ziemlich sicher,0,ziemlich sicher,-1,sehr unsicher,0,ziemlich sicher,sicher,-5,sehr sicher,-2,ziemlich sicher,mittel,manchmal Risiken,affin,0,ziemlich sicher,,,CDU/CSU,no,no,no,yes,no
122,53,f,Realschule,mittelmäßig,teils/ teils,groß,0,3,left/right,2,0,-3,-3,9,Party A,yes,2809,1,3,1,3,new,,both right,Party B,-1,-3,-2,8,-1,-3,-2,8,Party A,yes,no,-4,-4,-4,-4,both left,Party B,-4,-4,0,0,0,Party A,no,-2,2,2,-2,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=non-position,Party A,no,no,groß,0,3,ziemlich sicher,0,weder/noch,0,weder/noch,0,weder/noch,0,ziemlich sicher,sicher,-3,ziemlich sicher,0,weder/noch,mittel,Sicherheit,avers,0,weder/noch,,,,yes,no,yes,no,no
123,27,m,Hochschulstudium,ziemlich stark,teils/ teils,groß,-2,4,left/right,2,-1,-5,-4,24,Party A,yes,729,-2,4,-2,4,same,no,left/right,Party B,-1,-5,-4,24,-1,-5,-4,24,Party A,yes,no,-3,-3,-3,-3,both left,Party B,-2,-2,0,0,0,Party B,yes,-3,1,-3,1,left/right,Party A,-2,-2,0,0,0,Party A,yes,-2,1,-2,1,,,left/right,Party B,-1,-2,-1,3,-1,-2,-1,3,,,B=risky,Party A,yes,no,groß,2,4,sehr sicher,2,ziemlich sicher,3,ziemlich sicher,-1,weder/noch,-1,ziemlich sicher,sicher,-2,weder/noch,0,ziemlich sicher,stark,Sicherheit,avers,1,weder/noch,no,no,Grüne,no,no,no,yes,no
124,66,f,Hochschulstudium,ziemlich stark,teils/ teils,sehr groß,-4,0,left/right,2,-2,-2,0,0,Party A,yes,4356,0,4,0,4,new,,both right,Party B,-2,-6,-4,32,-2,-6,-4,32,Party A,yes,no,0,0,0,0,both right,Party A,-2,-2,0,0,0,Party A,yes,-4,0,0,-4,left/right,Party B,-2,-2,0,0,0,Party A,no,-2,1,-2,1,0,5,,Party B,0,-3,-3,9,0,-3,-3,9,-2,-7,B=internal conflict,Party A,yes,no,groß,1,5,sehr sicher,2,sehr sicher,1,ziemlich sicher,-1,ziemlich sicher,-2,ziemlich sicher,sicher,-4,sehr sicher,0,ziemlich sicher,stark,Sicherheit,avers,2,ziemlich sicher,,,Grüne,yes,no,no,yes,no
125,68,m,Hauptschule,mittelmäßig,ziemlich unzufrieden,gering,-3,2,left/right,2,-3,-2,1,-5,Party B,yes,4624,-3,2,2,-3,same,no,left/right,Party A,-3,-2,1,-5,-2,-3,-1,5,Party B,yes,no,-1,-1,-1,-1,both left,Party B,-1,-1,0,0,0,Party A,no,-2,2,-2,2,left/right,Party A,-2,-2,0,0,0,Party B,no,-2,1,-2,1,,,left/right,Party B,-2,-1,1,-3,-2,-1,1,-3,,,B=risky,Party B,yes,yes,gering,0,3,sehr sicher,-1,ziemlich sicher,-2,ziemlich sicher,-1,weder/noch,0,weder/noch,unsicher,-5,sehr sicher,-1,ziemlich sicher,mittel,keine Vorlieben,neutral,-3,ziemlich sicher,no,no,,no,no,no,yes,no
127,36,f,Abitur,mittelmäßig,ziemlich zufrieden,groß,-3,0,left/right,2,-3,0,3,-9,Party B,yes,1296,-3,0,-3,0,same,no,left/right,Party B,-3,0,3,-9,-3,0,3,-9,Party B,yes,yes,3,3,3,3,both right,Party A,-3,-3,0,0,0,Party B,no,-2,2,2,-2,left/right,Party B,-2,-2,0,0,0,Party B,yes,-2,1,-2,1,0,5,,Party B,-2,-1,1,-3,-2,-1,1,-3,0,-5,B=non-position,Party A,no,no,groß,1,-5,sehr unsicher,4,sehr sicher,-4,sehr unsicher,-3,ziemlich unsicher,0,weder/noch,unsicher,-5,sehr unsicher,1,ziemlich sicher,mittel,manchmal Risiken,affin,3,ziemlich sicher,no,no,CDU/CSU,no,no,no,no,no
