i,age,female,education,polinterest,satisdmo,impact,lr_A_1,lr_B_1,types_1,unc_1,ut_A_1,ut_B_1,ut_B_A_1,ut_B_A_sq_1,vote_1,vote_spa_1,age2,lr_A_2,lr_B_2,lr_cer_2,lr_unc_2,positions_2,switch_1_2,types_2,unc_2,ut_A_2,ut_B_2,ut_B_A_2,ut_B_A_sq_2,ut_cer_2,ut_unc_2,ut_unc_cer_2,ut_unc_cer_sq_2,vote_2,vote_spa_2,vote_unc_2,lr_A_3,lr_B_3,lr_cer_3,lr_unc_3,types_3,unc_3,ut_A_3,ut_B_3,ut_B_A_3,ut_B_A_sq_3,ut_unc_cer_3,vote_3,vote_unc_3,lr_A_4,lr_B_4,lr_cer_4,lr_unc_4,types_4,unc_4,ut_A_4,ut_B_4,ut_B_A_4,ut_B_A_sq_4,ut_unc_cer_4,vote_4,vote_unc_4,lr_A_5,lr_B_5,lr_cer_5,lr_unc_5,lr_unc_max_5,lr_unc_min_5,types_5,unc_5,ut_A_5,ut_B_5,ut_B_A_5,ut_B_A_sq_5,ut_cer_5,ut_unc_5,ut_unc_cer_5,ut_unc_cer_sq_5,ut_unc_max_5,ut_unc_min_5,vignette_5,vote_5,vote_spa_5,vote_unc_5,impact_cat,ind_unc,lr_afd,lr_afd_unc,lr_cdu,lr_cdu_unc,lr_fdp,lr_fdp_unc,lr_gre,lr_gre_unc,lr_i,lr_i_unc,lr_i_unc_cat,lr_linke,lr_linke_unc,lr_spd,lr_spd_unc,polinterest_cat,risk,risk_cat,sq,sq_unc,switch_1_2_cer,switch_1_2_unc,vote,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc
116,47,0,3,4,1,3,-4,4,3,2,-4,-4,0,0,1,1,2209,-1,1,1,-1,2,,3,0,-1,-1,0,0,-1,-1,0,0,0,1,1,3,3,3,3,2,1,-3,-3,0,0,0,0,0,-2,2,-2,2,3,0,-2,-2,0,0,0,0,1,-2,1,,,,,3,2,-2,-1,1,-3,-2,-1,1,-3,,,1,0,0,0,1,2,3,0,1,0,0,0,-3,0,0,0,0,-5,0,-1,0,2,1,0,-1,0,,,6,0,0,0,0,0
117,59,1,2,3,1,2,-3,3,3,2,-3,-3,0,0,1,1,3481,-3,3,-3,3,1,1,3,1,-3,-3,0,0,-3,-3,0,0,0,1,0,4,4,4,4,2,0,-4,-4,0,0,0,0,1,-2,2,-2,2,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,4,1,1,1,1,2,0,0,-3,1,-1,0,-5,0,0,0,0,-5,0,-3,0,2,1,0,-3,0,1,0,,0,0,0,1,0
119,33,1,2,1,4,2,-2,-1,1,2,-2,-1,1,-3,1,1,1089,-2,-1,-1,-2,1,0,1,0,-2,-1,1,-3,-1,-2,-1,3,1,1,0,-3,-3,-3,-3,1,0,-3,-3,0,0,0,0,1,-2,2,-2,2,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,4,1,1,1,1,1,5,1,0,1,1,1,-4,1,0,1,0,-5,1,-2,1,0,4,2,-2,1,0,0,1,0,0,0,1,0
120,66,0,1,2,2,1,1,2,3,2,0,-1,-1,1,0,1,4356,-4,-2,-2,-4,2,,1,0,-5,-3,2,-16,-3,-5,-2,16,1,1,0,2,2,2,2,2,1,-1,-1,0,0,0,0,0,-1,3,3,-1,3,1,-2,-2,0,0,0,0,0,-2,1,-2,1,,,3,1,-3,0,3,-9,-3,0,3,-9,,,2,1,1,1,0,0,5,0,0,0,-1,0,-2,0,1,0,0,-5,0,-1,0,1,2,1,0,0,,,1,0,0,0,1,0
121,62,1,2,2,0,2,-2,4,3,2,-2,-4,-2,12,0,1,3844,-2,-1,-2,-1,2,,1,1,-2,-1,1,-3,-2,-1,1,-3,1,1,1,1,1,1,1,2,0,-1,-1,0,0,0,0,1,-2,2,2,-2,3,1,-2,-2,0,0,0,1,1,-2,1,,,,,3,2,-2,-1,1,-3,-2,-1,1,-3,,,1,1,1,0,1,2,5,0,0,1,0,1,-1,4,0,1,0,-5,0,-2,1,1,1,0,0,1,,,1,0,0,0,1,0
122,53,1,2,2,2,2,0,3,3,2,0,-3,-3,9,0,1,2809,1,3,1,3,2,,2,1,-1,-3,-2,8,-1,-3,-2,8,0,1,0,-4,-4,-4,-4,1,1,-4,-4,0,0,0,0,0,-2,2,2,-2,3,1,-2,-2,0,0,0,0,0,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,3,0,0,0,1,0,3,1,0,2,0,2,0,2,0,1,0,-3,1,0,2,1,3,2,0,2,,,,1,0,1,0,0
123,27,0,4,3,2,2,-2,4,3,2,-1,-5,-4,24,0,1,729,-2,4,-2,4,1,0,3,1,-1,-5,-4,24,-1,-5,-4,24,0,1,0,-3,-3,-3,-3,1,1,-2,-2,0,0,0,1,1,-3,1,-3,1,3,0,-2,-2,0,0,0,0,1,-2,1,-2,1,,,3,1,-1,-2,-1,3,-1,-2,-1,3,,,2,0,1,0,1,2,4,0,2,1,3,1,-1,2,-1,1,0,-2,2,0,1,2,3,2,1,2,0,0,3,0,0,0,1,0
124,66,1,4,3,2,3,-4,0,3,2,-2,-2,0,0,0,1,4356,0,4,0,4,2,,2,1,-2,-6,-4,32,-2,-6,-4,32,0,1,0,0,0,0,0,2,0,-2,-2,0,0,0,0,1,-4,0,0,-4,3,1,-2,-2,0,0,0,0,0,-2,1,-2,1,0,5,,1,0,-3,-3,9,0,-3,-3,9,-2,-7,4,0,1,0,1,1,5,0,2,0,1,1,-1,1,-2,1,0,-4,0,0,1,2,3,2,2,1,,,3,1,0,0,1,0
125,68,0,1,2,1,1,-3,2,3,2,-3,-2,1,-5,1,1,4624,-3,2,2,-3,1,0,3,0,-3,-2,1,-5,-2,-3,-1,5,1,1,0,-1,-1,-1,-1,1,1,-1,-1,0,0,0,0,0,-2,2,-2,2,3,0,-2,-2,0,0,0,1,0,-2,1,-2,1,,,3,1,-2,-1,1,-3,-2,-1,1,-3,,,2,1,1,1,0,0,3,0,-1,1,-2,1,-1,2,0,2,1,-5,0,-1,1,1,2,1,-3,1,0,0,,0,0,0,1,0
127,36,1,3,2,3,2,-3,0,3,2,-3,0,3,-9,1,1,1296,-3,0,-3,0,1,0,3,1,-3,0,3,-9,-3,0,3,-9,1,1,1,3,3,3,3,2,0,-3,-3,0,0,0,1,0,-2,2,2,-2,3,1,-2,-2,0,0,0,1,1,-2,1,-2,1,0,5,,1,-2,-1,1,-3,-2,-1,1,-3,0,-5,3,0,0,0,1,1,-5,4,4,0,-4,4,-3,3,0,2,1,-5,4,1,1,1,1,0,3,1,0,0,1,0,0,0,0,0
