i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
116,1,47,2209,3,0,3,2,CDU/CSU,0,0,1,0,-.017576899,1.1010672,4,1,1,-1,0,-1,-.017576899,6,0
116,2,47,2209,3,0,3,2,SPD,0,0,-1,0,-1.3013183,1.1161331,4,1,1,-1,0,-1,-1.3013183,6,0
116,3,47,2209,3,0,3,2,Grüne,0,0,-3,0,-1.7564344,1.165725,4,1,1,-1,0,-3,-1.7564344,6,0
116,4,47,2209,3,0,3,2,AfD,0,0,3,0,3.1958568,.6836158,4,1,1,-1,0,-3,-3.1958568,6,0
116,5,47,2209,3,0,3,2,Linke,0,0,-5,0,-3.566855,.7859385,4,1,1,-1,0,-5,-3.566855,6,0
116,6,47,2209,3,0,3,2,FDP,0,0,0,0,-.28876334,1.2912743,4,1,1,-1,0,0,-.28876334,6,1
119,1,33,1089,2,1,2,1,CDU/CSU,0,1,0,1,-.017576899,1.1010672,1,4,4,-2,1,0,-.017576899,1,1
119,2,33,1089,2,1,2,1,SPD,0,1,-2,1,-1.3013183,1.1161331,1,4,4,-2,1,-2,-1.3013183,1,0
119,3,33,1089,2,1,2,1,Grüne,0,1,-4,1,-1.7564344,1.165725,1,4,4,-2,1,-4,-1.7564344,1,0
119,4,33,1089,2,1,2,1,AfD,0,1,5,1,3.1958568,.6836158,1,4,4,-2,1,-5,-3.1958568,1,0
119,5,33,1089,2,1,2,1,Linke,0,1,-5,1,-3.566855,.7859385,1,4,4,-2,1,-5,-3.566855,1,0
119,6,33,1089,2,1,2,1,FDP,0,1,1,1,-.28876334,1.2912743,1,4,4,-2,1,-1,-.28876334,1,0
120,1,66,4356,1,0,1,0,CDU/CSU,1,0,0,0,-.017576899,1.1010672,2,2,2,0,0,-1,-1.0175769,1,1
120,2,66,4356,1,0,1,0,SPD,1,0,-1,0,-1.3013183,1.1161331,2,2,2,0,0,-2,-2.3013182,1,0
120,3,66,4356,1,0,1,0,Grüne,1,0,-2,0,-1.7564344,1.165725,2,2,2,0,0,-3,-2.7564344,1,0
120,4,66,4356,1,0,1,0,AfD,1,0,5,0,3.1958568,.6836158,2,2,2,0,0,-4,-2.1958568,1,0
120,5,66,4356,1,0,1,0,Linke,1,0,-5,0,-3.566855,.7859385,2,2,2,0,0,-6,-4.566855,1,0
