i,j,age,age2,education,female,impact,ind_unc,j_,lr_i,lr_i_unc,lr_ij,lr_ij_unc,lr_j,lr_j_unc,polinterest,risk,satisdmo,sq,sq_unc,ut_ij,ut_j,vote,vote_ij
116,CDU/CSU,47,2209,Abitur,m,sehr groß,2,CDU/CSU,0,sehr sicher,1,sehr sicher,-.017576899,1.1010672,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,-1,-.017576899,FDP,0
116,SPD,47,2209,Abitur,m,sehr groß,2,SPD,0,sehr sicher,-1,sehr sicher,-1.3013183,1.1161331,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,-1,-1.3013183,FDP,0
116,Grüne,47,2209,Abitur,m,sehr groß,2,Grüne,0,sehr sicher,-3,sehr sicher,-1.7564344,1.165725,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,-3,-1.7564344,FDP,0
116,AfD,47,2209,Abitur,m,sehr groß,2,AfD,0,sehr sicher,3,sehr sicher,3.1958568,.6836158,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,-3,-3.1958568,FDP,0
116,Linke,47,2209,Abitur,m,sehr groß,2,Linke,0,sehr sicher,-5,sehr sicher,-3.566855,.7859385,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,-5,-3.566855,FDP,0
116,FDP,47,2209,Abitur,m,sehr groß,2,FDP,0,sehr sicher,0,sehr sicher,-.28876334,1.2912743,sehr stark,manchmal Risiken,ziemlich unzufrieden,-1,sehr sicher,0,-.28876334,FDP,1
119,CDU/CSU,33,1089,Realschule,f,groß,1,CDU/CSU,0,ziemlich sicher,0,ziemlich sicher,-.017576899,1.1010672,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,0,-.017576899,CDU/CSU,1
119,SPD,33,1089,Realschule,f,groß,1,SPD,0,ziemlich sicher,-2,ziemlich sicher,-1.3013183,1.1161331,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,-2,-1.3013183,CDU/CSU,0
119,Grüne,33,1089,Realschule,f,groß,1,Grüne,0,ziemlich sicher,-4,ziemlich sicher,-1.7564344,1.165725,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,-4,-1.7564344,CDU/CSU,0
119,AfD,33,1089,Realschule,f,groß,1,AfD,0,ziemlich sicher,5,ziemlich sicher,3.1958568,.6836158,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,-5,-3.1958568,CDU/CSU,0
119,Linke,33,1089,Realschule,f,groß,1,Linke,0,ziemlich sicher,-5,ziemlich sicher,-3.566855,.7859385,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,-5,-3.566855,CDU/CSU,0
119,FDP,33,1089,Realschule,f,groß,1,FDP,0,ziemlich sicher,1,ziemlich sicher,-.28876334,1.2912743,weniger stark,unbedingte Sicherheit,sehr zufrieden,-2,ziemlich sicher,-1,-.28876334,CDU/CSU,0
120,CDU/CSU,66,4356,Hauptschule,m,gering,0,CDU/CSU,1,sehr sicher,0,sehr sicher,-.017576899,1.1010672,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-1,-1.0175769,CDU/CSU,1
120,SPD,66,4356,Hauptschule,m,gering,0,SPD,1,sehr sicher,-1,sehr sicher,-1.3013183,1.1161331,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-2,-2.3013182,CDU/CSU,0
120,Grüne,66,4356,Hauptschule,m,gering,0,Grüne,1,sehr sicher,-2,sehr sicher,-1.7564344,1.165725,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-3,-2.7564344,CDU/CSU,0
120,AfD,66,4356,Hauptschule,m,gering,0,AfD,1,sehr sicher,5,sehr sicher,3.1958568,.6836158,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-4,-2.1958568,CDU/CSU,0
120,Linke,66,4356,Hauptschule,m,gering,0,Linke,1,sehr sicher,-5,sehr sicher,-3.566855,.7859385,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-6,-4.566855,CDU/CSU,0
120,FDP,66,4356,Hauptschule,m,gering,0,FDP,1,sehr sicher,-1,sehr sicher,-.28876334,1.2912743,mittelmäßig,keine Vorlieben,teils/ teils,0,sehr sicher,-2,-1.2887633,CDU/CSU,0
121,CDU/CSU,62,3844,Realschule,f,groß,2,CDU/CSU,0,ziemlich sicher,0,ziemlich sicher,-.017576899,1.1010672,mittelmäßig,manchmal Risiken,sehr unzufrieden,0,ziemlich sicher,0,-.017576899,CDU/CSU,1
121,SPD,62,3844,Realschule,f,groß,2,SPD,0,ziemlich sicher,-2,ziemlich sicher,-1.3013183,1.1161331,mittelmäßig,manchmal Risiken,sehr unzufrieden,0,ziemlich sicher,-2,-1.3013183,CDU/CSU,0
